1000
00000000001,imizwlivkf,1,11152221938,6235262705290776,875728194308023139,528683,29511,20130718150246,20130718150246,0,000000000973.000000000950.
00000000002,esgrvvumlkr,1,17414905281,6242070807200982,987969202109047429,776635,0,20130809063043,20130809063043,1,000000000973.
00000000003,ri,2,16303992772,6249067703475970,835313199106209015,301220,0,20210604153747,20210604153747,1,000000000973.
00000000004,xofbpzvwpbx,2,12543815971,6246066702233579,530880198102092058,463497,21328,20160306030133,20160306030133,0,000000000871.
00000000005,egx,2,16017515548,6243560704438058,375904192602214423,979114,0,20060209032410,20060209032410,1,000000000972.
00000000006,cxmw,2,17154161419,6240664702245245,504737196703091375,048462,0,20090718102719,20090718102719,1,000000000965.
00000000007,gd,2,15920717613,6242867709495338,023219199908263979,688148,24901,20050227173822,20050227173822,0,000000000965.000000000986.
00000000008,ktqwcjnu,1,15830633625,6242379812326172,504993201411195527,332404,13675,20060408221807,20060408221807,0,
00000000009,cqycmi,1,10452883560,6242862707359845,596322194904141189,170230,3275,20020824163622,20020824163622,0,000000000984.000000000999.000000000920.000000000906.000000000747.
00000000010,ahmptpyvrvu,1,14679748847,6265663705391939,865783195708129960,304518,0,20090622232351,20090622232351,1,
00000000011,nfbihexyk,2,17633188581,6251466716332584,975394198512137178,055595,0,20080616184720,20080616184720,1,
00000000012,tijvj,1,19150232481,6236862714421189,746660194911218132,218178,0,20180226191202,20180226191202,1,
00000000013,zh,1,17499578256,6263660700227285,974164192701074743,128974,10884,20140408154258,20140408154258,0,
00000000014,tztawpfab,2,15645475092,6248063707409093,937342195109247338,502239,26736,20210401201532,20210401201532,0,000000000993.
00000000015,dl,1,13504363480,6237665714216002,731274197710019615,320514,0,20010816055047,20010816055047,1,
00000000016,lakrurptm,2,19787678229,6266962709263150,948382194005061608,325095,10559,20190816193621,20190816193621,0,000000000972.000000000946.000000000995.
00000000017,xsb,2,14679884562,6260762703442733,071886194803206833,122212,0,20191203142736,20191203142736,1,
00000000018,okobqqcok,1,10019157964,6243465705473867,212269197506229860,782030,9862,20031206201135,20031206201135,0,000000000973.
00000000019,hzkghschvu,1,17957357614,6255563706244003,430231195603038443,427844,4735,20140509204436,20140509204436,0,
00000000020,izuas,1,16837664051,6247263707353380,062039195304144078,349373,2609,20140824152308,20140824152308,0,
00000000021,eyfvvgkuirw,1,19778251396,6258162702258388,056432194204099225,017980,0,20030714070654,20030714070654,1,
00000000022,xxhga,2,18003691712,6238560710412067,762795192610272947,994700,20170,20090705073855,20090705073855,0,000000000901.
